city,AQI,PM2.5,PM10,SO2,NO2,CO,CO3,main_pollution,time
中卫市,165,82,279,19,73,1.0,18,PM10,2021-01-26 21:00:00
乌鲁木齐市,88,65,64,5,71,1.2,26,PM2.5,2021-01-26 21:00:00
克拉玛依市,28,19,25,3,25,0.4,53,―,2021-01-26 21:00:00
吐鲁番地区,117,88,125,16,54,2.1,32,PM2.5,2021-01-26 21:00:00
哈密地区,51,16,51,2,18,0.5,58,PM10,2021-01-26 21:00:00
昌吉州,73,53,62,8,33,1.0,59,PM2.5,2021-01-26 21:00:00
博州,42,21,42,10,47,0.6,31,―,2021-01-26 21:00:00
库尔勒市,109,45,168,4,42,0.8,38,PM10,2021-01-26 21:00:00
阿克苏地区,102,46,154,13,67,0.4,41,PM10,2021-01-26 21:00:00
克州,111,44,172,4,30,1.5,59,PM10,2021-01-26 21:00:00
喀什地区,126,70,201,9,51,1.4,54,PM10,2021-01-26 21:00:00
和田地区,134,44,218,28,59,1.4,42,PM10,2021-01-26 21:00:00
伊犁哈萨克州,110,83,104,36,89,2.5,41,PM2.5,2021-01-26 21:00:00
塔城地区,23,6,23,2,14,0.5,70,―,2021-01-26 21:00:00
阿勒泰地区,15,6,14,2,29,0.2,35,―,2021-01-26 21:00:00
石河子市,95,71,81,6,55,1.1,32,PM2.5,2021-01-26 21:00:00
五家渠市,105,79,94,8,50,1.0,40,PM2.5,2021-01-26 21:00:00
